time,lat,lon,ugrd10m,vgrd10m,dir,speed
2022-08-15 12:00:00,15,62.5,9.041467,7.4631615,50.462473351613,11.7237752062709
2022-08-15 12:00:00,15,63,8.831467,7.0731616,51.308605910307,11.3147878633143
2022-08-15 12:00:00,15,63.5,8.401467,7.0531616,49.9860209723633,10.9695823214835
2022-08-15 12:00:00,15,64,9.441467,6.6231613,54.9504531920142,11.532890562123
2022-08-15 12:00:00,15,64.5,9.151467,6.7031612,53.7783986531977,11.3437964687874
2022-08-15 12:00:00,15,65,9.091467,6.6231613,53.9265483874528,11.2481570854032
2022-08-15 12:00:00,15,65.5,8.221467,6.9531612,49.7777157961351,10.767496009067
2022-08-15 12:00:00,15,66,8.211467,6.4131613,52.0101394010014,10.4190608094927
2022-08-15 12:00:00,15,66.5,7.9614673,5.5831614,54.9590608844552,9.72402451598201
2022-08-15 12:00:00,15,67,8.011467,5.6231613,54.9354019630496,9.78792861119791
2022-08-15 12:00:00,15,67.5,8.981467,5.0331616,60.7339845962893,10.2956041670124
2022-08-15 12:00:00,15,68,7.241467,5.0431614,55.1455610459067,8.82452951825416
2022-08-15 12:00:00,15,68.5,8.131467,4.3131614,62.0572489422345,9.20457043183108
2022-08-15 12:00:00,15,69,7.801467,3.5331616,65.6349762078958,8.56423483119208
2022-08-15 12:00:00,15,69.5,7.851467,2.9831614,69.1957345736929,8.39909435537779
2022-08-15 12:00:00,15,70,8.041467,3.3031616,67.6688061007458,8.69344972193453
2022-08-15 12:00:00,14.5,20,-0.8485327,5.8531613,351.751297154484,5.91434738130818
2022-08-15 12:00:00,14.5,20.5,0.40146726,5.5431614,4.14245311615079,5.55768065539051
2022-08-15 12:00:00,14.5,21,0.60146725,5.5031614,6.2373768557315,5.53593246411772
2022-08-15 12:00:00,14.5,21.5,-0.8785327,4.7331614,349.484867526873,4.81400421098894
2022-08-15 12:00:00,14.5,22,-1.1985327,4.0231614,343.4107752315,4.19789331491633
2022-08-15 12:00:00,14.5,22.5,-2.2485328,3.7531614,329.074019761149,4.37517088204859
2022-08-15 12:00:00,14.5,23,-1.3985326,3.5831616,338.678956675339,3.84641917697192
2022-08-15 12:00:00,14.5,23.5,-2.1585326,3.3631616,327.306982922483,3.99626312108917
2022-08-15 12:00:00,14.5,24,-2.0285327,3.1531615,327.245487873024,3.74931625233876
2022-08-15 12:00:00,14.5,24.5,-3.6985326,5.7531614,327.264268474695,6.83944511548362
2022-08-15 12:00:00,14.5,25,-2.8285327,4.7431617,329.190724272393,5.52251574441542
2022-08-15 12:00:00,14.5,25.5,-2.7585328,2.5831616,313.119618776721,3.77918338538769
2022-08-15 12:00:00,14.5,26,-3.0185328,2.7831616,312.676819199409,4.10579209853475
2022-08-15 12:00:00,14.5,26.5,-2.7485328,2.9931614,317.43964832427,4.06367416497999
2022-08-15 12:00:00,14.5,27,-4.0385327,5.0231614,321.201335410477,6.44530036688898
2022-08-15 12:00:00,14.5,27.5,-4.2185326,5.0431614,320.08799883417,6.57491400732456
2022-08-15 12:00:00,14.5,28,-5.708533,5.9231615,316.057104091315,8.2262501279241
2022-08-15 12:00:00,14.5,28.5,-3.0785327,6.1531615,333.42041004575,6.88031685535278
2022-08-15 12:00:00,14.5,29,-1.7485327,6.4131613,344.749133062864,6.64725540827092
2022-08-15 12:00:00,14.5,29.5,-0.4085327,4.3031616,354.576719382616,4.32251069665349
2022-08-15 12:00:00,14.5,30,-1.3685327,1.0731616,308.102460182302,1.73912551895596
2022-08-15 12:00:00,14.5,30.5,-0.1785327,-0.79683834,192.628638017372,0.816593696438593
2022-08-15 12:00:00,14.5,31,2.4614673,-0.96683836,111.444375754899,2.64454111016198
2022-08-15 12:00:00,14.5,31.5,0.40146726,-0.49683836,141.060263286262,0.638767811351979
2022-08-15 12:00:00,14.5,32,-0.9285327,-1.6668383,209.120529101525,1.90801543319654
2022-08-15 12:00:00,14.5,32.5,1.0114672,2.4231615,22.6564542192513,2.62579084310957
2022-08-15 12:00:00,14.5,33,2.7714672,3.4031615,39.1586877459657,4.38891087124791
